Date,Timestamp,Open,High,Low,Close,Volume
20190417,12:00:00,1.30574,1.30585,1.30393,1.30395,9779.559965
20190417,13:00:00,1.30395,1.30501,1.30283,1.30437,11542.42997
20190417,14:00:00,1.30438,1.30513,1.30286,1.30478,10853.07998
20190417,15:00:00,1.30476,1.30548,1.30293,1.30335,8605.16997
20190417,16:00:00,1.30335,1.30407,1.30291,1.30366,5078.999985
20190417,17:00:00,1.30367,1.30448,1.30338,1.30371,3307.479992
20190417,18:00:00,1.3037,1.30399,1.30308,1.30386,3166.809993
20190417,19:00:00,1.30386,1.30424,1.30373,1.30398,2615.549994
20190417,20:00:00,1.30398,1.30432,1.30352,1.3038,2804.949995
20190417,21:00:00,1.30353,1.30408,1.30309,1.30371,5224.300009
20190417,22:00:00,1.30371,1.30398,1.30353,1.3039,1014.79
20190417,23:00:00,1.30394,1.30394,1.3037,1.30377,1616.139999
20190418,00:00:00,1.30377,1.30434,1.30344,1.30427,2365.359993
20190418,01:00:00,1.30428,1.30443,1.3039,1.30392,2778.319997
20190418,02:00:00,1.30393,1.30418,1.30341,1.30402,2261.239996
20190418,03:00:00,1.30403,1.30418,1.30361,1.30392,1960.669993
20190418,04:00:00,1.30392,1.30454,1.30372,1.30444,1671.539995
20190418,05:00:00,1.30443,1.30522,1.30439,1.30468,2859.429995
20190418,06:00:00,1.30468,1.30495,1.30421,1.30438,6910.76999
20190418,07:00:00,1.30441,1.30494,1.30192,1.3027,17740.99999
20190418,08:00:00,1.30279,1.30349,1.3009,1.3021,18496.66997
20190418,09:00:00,1.30213,1.30216,1.30059,1.30095,18198.71999
20190418,10:00:00,1.30095,1.30147,1.30024,1.3008,14496.88998
20190418,11:00:00,1.3008,1.30202,1.30055,1.30127,16148.27994
20190418,12:00:00,1.30129,1.30171,1.29922,1.3004,17173.97998
20190418,13:00:00,1.30041,1.30213,1.29976,1.30181,12716.83995
20190418,14:00:00,1.30182,1.30192,1.29958,1.30073,11499.54995
20190418,15:00:00,1.30075,1.30112,1.29983,1.30023,8832.819966
20190418,16:00:00,1.30022,1.30063,1.29784,1.29803,7172.149985
20190418,17:00:00,1.29801,1.29885,1.29799,1.29872,5478.129986
20190418,18:00:00,1.29871,1.29924,1.29855,1.29881,4003.109981
20190418,19:00:00,1.29878,1.29932,1.29824,1.29828,3449.470004
20190418,20:00:00,1.29829,1.299,1.29803,1.2984,4431.680013
20190418,21:00:00,1.2982,1.29917,1.29808,1.29894,2135.820005
20190418,22:00:00,1.29899,1.29932,1.29861,1.2988,6104.519994
20190418,23:00:00,1.29878,1.29934,1.29852,1.29909,6906.15001
20190419,00:00:00,1.29913,1.29943,1.29898,1.29919,8561.990027
20190419,01:00:00,1.29921,1.2996,1.29854,1.29893,16398.97012
20190419,02:00:00,1.29891,1.29952,1.29869,1.29913,29574.30023
20190419,03:00:00,1.29914,1.29942,1.29901,1.29935,4397.910076
20190419,04:00:00,1.29935,1.30012,1.29923,1.30005,28341.66032
20190419,05:00:00,1.30004,1.30014,1.2994,1.29949,10786.08002
20190419,06:00:00,1.2995,1.30012,1.29926,1.29954,8962.550036
20190419,07:00:00,1.29956,1.30006,1.29933,1.29983,10125.69999
20190419,08:00:00,1.29983,1.30019,1.29966,1.29994,18329.01002
20190419,09:00:00,1.29992,1.30082,1.29978,1.30009,18358.50004
20190419,10:00:00,1.30008,1.3003,1.29983,1.29998,13286.12002
20190419,11:00:00,1.3,1.30092,1.29961,1.30022,17348.21995
20190419,12:00:00,1.30025,1.30037,1.29929,1.29955,18140.03998
20190419,13:00:00,1.29955,1.29984,1.29941,1.29967,13676.30998
20190419,14:00:00,1.29968,1.30045,1.29961,1.30021,20713.61
20190419,15:00:00,1.30021,1.30023,1.29958,1.29998,17751.51998
20190419,16:00:00,1.29998,1.3001,1.29943,1.29982,8454.049999
20190419,17:00:00,1.29983,1.30011,1.29885,1.29938,8036.689956
20190419,18:00:00,1.29938,1.29988,1.29896,1.29936,7246.850017
20190419,19:00:00,1.29939,1.30013,1.299,1.29947,7530.479993
20190419,20:00:00,1.29948,1.30015,1.29783,1.29815,7748.019992
20190421,21:00:00,1.29892,1.29969,1.29845,1.29852,713.6899936
20190421,22:00:00,1.29851,1.2995,1.29845,1.29932,1365.23
20190421,23:00:00,1.29931,1.29953,1.2991,1.29918,1882.119994
